,Training,Validation
0,2.7014078962933885,2.6419639587402344
1,2.604317159443111,2.5378525907343086
2,2.5191877281272803,2.456551183353771
3,2.4364253741044264,2.3816878578879614
4,2.3781121170127784,2.3082228790629995
5,2.3348799380627305,2.2701259309595283
6,2.292633512517908,2.2234905416315254
7,2.251594474027445,2.176083868200129
8,2.2303189694226444,2.167678572914817
9,2.2121265144138547,2.1467491279948843
10,2.181534919109973,2.152403625574979
11,2.169978284573817,2.1534322716973047
12,2.1559860758729035,2.1253874518654565
13,2.1290058971761345,2.1198125860907813
14,2.135769071159782,2.0723563649437646
15,2.119566268973298,2.056209022348577
16,2.0982384773401113,2.0823013565757056
17,2.089977944290245,2.054081223227761
18,2.076797013754373,2.0816361795772207
19,2.0765174326005873,2.1125011985952202
20,2.059004614641378,2.0513485995205967
21,2.0571696902369405,2.0578766519373115
22,2.0504390459794264,2.0826996564865112
23,2.0346074811704864,2.0453473329544067
24,2.023916041458046,2.0371881398287686
25,2.0198748177224464,2.0349267504431983
26,2.008841098009885,2.0220075087113814
27,2.000637634769901,2.030908931385387
28,1.9874025792865964,1.9778737479990178
29,1.9784269057787383,1.9941682490435513
30,1.9701752322060722,2.0041952458294956
31,1.9607810502523904,2.000039122321389
32,1.9419955578479138,2.0262087800286035
33,1.9618385558599953,2.0170053243637085
34,1.9451929828622838,1.9330566362901167
35,1.925036723797138,1.9625406373630871
36,1.9123130918859126,1.9801294803619385
37,1.92275314278655,1.9954665032300083
38,1.9121380638290237,1.9886986450715498
39,1.8950125542315808,1.9949665069580078
40,1.884523480803102,1.9417433738708496
41,1.8792716304024497,1.9355813481590964
42,1.8728918334939977,1.9166497100483288
43,1.8615873554250697,1.9499269940636375
44,1.8483218570331952,1.9403235912322998
45,1.8631017876195384,1.8985306132923474
46,1.836823276111058,1.898331967267123
47,1.8543729729704805,1.953470522707159
48,1.8287956622930674,1.9472668279301037
49,1.819302553658957,1.9004589102484963
50,1.8183526180602692,1.985910328951749
51,1.7983386398671748,1.903130986473777
52,1.8001169123492398,1.9049200469797307
53,1.7827021590955965,1.9425003203478726
54,1.7789844746118064,1.9311897971413352
55,1.7586473239647162,1.9067691347815774
56,1.75058511194292,1.9962707866321912
57,1.7571939112065913,1.923129992051558
58,1.7553422490319053,1.8521416620774702
59,1.7485045142226168,1.895095554265109
60,1.7257516174526004,1.8884861252524636
61,1.7283068292743557,1.9317199100147595
62,1.7266863650018043,1.8999115228652954
63,1.7133821209708413,1.9544811248779297
64,1.703974072749798,1.9134882796894421
65,1.696459071976798,1.9228277639909224
66,1.6863365186439765,1.8811632286418567
67,1.6726411227341538,1.9452695087953047
68,1.6824340257015857,1.9221137111837214
69,1.6770195620400565,1.9276351820338855
70,1.6571262170980265,1.9011187661777844
71,1.6432238568316448,1.874059644612399
72,1.6526394126179453,1.8865687847137451
73,1.630894193282494,1.9135314984755083
74,1.6248767022248154,1.964315035126426
75,1.6232326345129326,1.919772820039229
76,1.6166696089964647,1.9020478617061267
77,1.6301481540386493,1.8864264704964377
78,1.614506253829369,1.875250978903337
79,1.6017772155803638,1.9336513822728938
80,1.576790839761168,1.8340319395065308
81,1.583809535581987,1.933146899396723
82,1.589081075165298,1.9515034827319058
83,1.5915607842770252,1.8705571673133157
84,1.59050799202133,1.8684813976287842
85,1.5581282875040074,1.8497573137283325
86,1.5604275451911676,1.856864495710893
87,1.548219769865602,1.9280761046843096
88,1.5613239191390655,1.8100917881185359
89,1.557324679343255,1.9257846745577725
90,1.5474443147470662,1.8724299344149502
91,1.5297786403488327,1.852180090817538
92,1.532987580194578,1.8663724227385088
93,1.5177389422615806,1.8931724591688677
94,1.5127282378437754,1.8425917408683083
95,1.4973380120245965,1.832835403355685
96,1.489496879525237,1.8275781978260388
97,1.475337375651349,1.8134783939881758
98,1.467981490460071,1.8982501138340344
99,1.4834337902593089,1.7852421348745173
