,Training,Validation
0,1.6769238532058837,1.5916296877992262
1,1.5665890638596742,1.553209276374327
2,1.514005849054792,1.5170341675434638
3,1.4893202040139146,1.465873317980985
4,1.459707608998917,1.4467996927576328
5,1.431770168264394,1.4234787652251917
6,1.4137623109842536,1.3897008491218636
7,1.391230855713992,1.385097755204647
8,1.3699782464135037,1.352507271897902
9,1.3619009966612488,1.3447934684403446
10,1.345085130588902,1.3373198487343045
11,1.3232420958246145,1.3076508088943062
12,1.2992341951748205,1.2717900440233563
13,1.2894281419556284,1.2519612722440596
14,1.274078077218664,1.2343893209728627
15,1.2573601038750075,1.2384142957696127
16,1.2382460516581697,1.2503699496251728
17,1.2302634074619123,1.2372385733718172
18,1.209485325444089,1.1918375995181023
19,1.205757946792863,1.1963965701400687
20,1.2002939369109047,1.1816087179227706
21,1.1789080594468304,1.1741390261081381
22,1.1664047203664705,1.1546654821535862
23,1.1587989998301809,1.1433942903072463
24,1.149646962565074,1.127838766356127
25,1.1468360164346971,1.1465813862074405
26,1.12469507515274,1.1130676521073788
27,1.1212255824895043,1.0999753644707007
28,1.1183752566184897,1.1025952013260727
29,1.1163679677357512,1.0760880369658863
30,1.0925106931859114,1.0598510323314492
31,1.0824334429005,1.071631548601553
32,1.0678646994700896,1.0732040487298178
33,1.0556211743767805,1.0522143359577985
34,1.0430424940867686,1.0380128758762954
35,1.0379549920402487,1.0172403159491512
36,1.0259087357934065,1.023364792176343
37,1.028557288521544,1.0270434541439792
38,1.0192657324272816,0.9924762921595792
39,0.9942866200850079,0.9936529250319944
40,0.9844742686416846,0.9673125213439312
41,0.9828315241130319,0.9862013672469953
42,0.9672896500647538,0.9638912819941109
43,0.9535596830638375,0.9488506399163412
44,0.9446367887374297,0.9380480772858366
45,0.9214301506678263,0.9227346895484749
46,0.933022405375333,0.9068246101020673
47,0.9075117943480885,0.9230130801507093
48,0.8998539224071452,0.8945891889957113
49,0.8969962724394059,0.8864424091960312
50,0.884095970883457,0.8971153224280121
51,0.884609615396014,0.8738287583403631
52,0.8657447249088388,0.8821880336201519
53,0.8505518668749201,0.8543141962738212
54,0.8485186528658929,0.8733328367591998
55,0.842961685472899,0.8490839163097766
56,0.8391071566603002,0.8481537284107383
57,0.8329389845448842,0.8510508591975641
58,0.8343883976535847,0.8483125682270855
59,0.8154577161539883,0.8599245747841826
60,0.8236227144250093,0.8328117952434295
61,0.807289960425044,0.8394345638402011
62,0.812486547575848,0.823658861151529
63,0.806768570202855,0.8189915106930864
64,0.8021194188613591,0.8147127289290822
65,0.7987798252912957,0.8235393500109331
66,0.7943369958970178,0.810033407233177
67,0.7905281681244768,0.8257737969039777
68,0.7796122674241154,0.8269739202949979
69,0.7829123727605725,0.8318497631527962
70,0.7855432159475141,0.8348815487612278
71,0.782406409268617,0.8728724523968653
72,0.7674586028251749,0.8309792764143112
73,0.7728136372691378,0.8435652291556017
74,0.7658287869507246,0.8304853483077583
75,0.7578405312352919,0.8480811089003851
76,0.7602165251422742,0.8181583432976259
77,0.7509790288181756,0.8250332646960512
78,0.7418697120480024,0.8208344059252958
79,0.7439201452287789,0.7962198648430886
80,0.7350201261794473,0.7997293152393551
81,0.733985303972024,0.810381142918123
82,0.7236814362796273,0.7953872831042753
83,0.7034689202083377,0.8319827296318264
84,0.7051722703017588,0.8282390570421831
85,0.701572167122458,0.7909379779198847
86,0.6946155561080442,0.7778239761470654
87,0.6911951761858983,0.7540430098498633
88,0.6855831178310975,0.7592688057947596
89,0.6825741804803763,0.8053527635718705
90,0.6576383649677117,0.7399167711034828
91,0.6582555338310132,0.7551119991945564
92,0.6566729559673099,0.7503901389213877
93,0.6432720245182357,0.7428369286957137
94,0.641076931021032,0.7478251714225209
95,0.6376452454588232,0.7714003682683367
96,0.6250524811075115,0.7500497121876533
97,0.6155376259892631,0.754857861667598
98,0.6143370322355135,0.7417639253336356
99,0.6183467293818166,0.7566529531544501
