,Training,Validation
0,2.713577749964955,2.7046580748124556
1,2.7041917607024475,2.702097177505493
2,2.6985318031939833,2.688098127191717
3,2.682551947268811,2.6698938716541636
4,2.654555084941151,2.6303138732910156
5,2.599372502211686,2.5675227208571
6,2.5516518472315193,2.5247776941819624
7,2.5171349127214033,2.481734427538785
8,2.481443931768229,2.446257331154563
9,2.461142367059058,2.426601908423684
10,2.443154974298163,2.4139034748077393
11,2.4392554943378153,2.4163701967759565
12,2.4120319885211985,2.3934225169095127
13,2.3984913485390797,2.3933547626842153
14,2.3972032436957726,2.3963527245955034
15,2.38328843326359,2.376858039335771
16,2.3793269513727546,2.4160314689983022
17,2.376366932313521,2.3639089410955254
18,2.3702388464749515,2.364782203327526
19,2.3585628991598613,2.3418076038360596
20,2.357006866853316,2.370719216086648
21,2.357379588452014,2.3109958388588647
22,2.3472843039166795,2.307813037525524
23,2.3235568633446326,2.340248302979903
24,2.3199414971110586,2.305933713912964
25,2.3201536058069587,2.3761448209935967
26,2.298267961858393,2.306842803955078
27,2.291157601953863,2.2487210143696177
28,2.301034335251693,2.2776000066237017
29,2.2980140853714155,2.2597802227193657
30,2.2813724318703454,2.272237604314631
31,2.2830923245503354,2.2740836793726142
32,2.2831511052100213,2.2410038601268423
33,2.278112550358196,2.231167338111184
34,2.2544093420217326,2.239203518087214
35,2.249634732256879,2.2724094824357466
36,2.2395917295099617,2.1978696151213213
37,2.2271870715277537,2.21636146848852
38,2.2110893569149814,2.1971343647349966
39,2.206451347896031,2.1637449806386773
40,2.2017847849772525,2.1534847129474985
41,2.1972781183955434,2.2045515450564297
42,2.1673380450887993,2.145681056109342
43,2.149467401452117,2.111081686886874
44,2.143105374587761,2.084861462766474
45,2.133499617105002,2.041383244774558
46,2.1325564227261387,2.060632998293096
47,2.100946381851867,2.0568947358564897
48,2.117698079937107,2.0696485259316186
49,2.093113136815501,2.0480951287529687
50,2.0866554359813314,2.06917142868042
51,2.091682339762593,2.05297408320687
52,2.0858900468428057,2.026448607444763
53,2.076564161332099,1.9925526705655185
54,2.0698346436678707,2.0161368305032905
55,2.0622560480138756,2.0087656541304155
56,2.0630139741268785,2.0022691921754316
57,2.0554966769375644,2.0029060298746284
58,2.0589865236491947,2.0099434093995527
59,2.0352623672275754,1.986377477645874
60,2.052564010515318,1.9991591843691738
61,2.042119102163629,2.004276676611467
62,2.0200215853177586,2.044191501357339
63,2.0234652705244964,1.9832615743983875
64,2.016198515892029,2.0114705779335718
65,2.0163322451350454,2.01449436491186
66,2.021743718084398,2.015676119110801
67,2.019555825453538,1.9705749316649004
68,2.0087984092942963,2.0383125218478115
69,2.0207731252188212,1.9603949243372136
70,2.005943162100656,1.9609573429281062
71,2.004135627012986,2.0010056495666504
72,2.009154043354831,2.0449306097897617
73,2.020864020337115,1.9919892441142688
74,1.9959649672875037,1.9718615358526057
75,1.9964661506506114,1.9732072895223445
76,1.981954350576296,2.0076950680125845
77,1.9906366762224135,1.9486057649959216
78,1.9720647780449836,1.9564529765735974
79,1.9668400929524348,1.9723226482217961
80,1.9659900887981876,1.9708185629411177
81,1.968225673004821,1.9314436587420376
82,1.9592428102598085,1.954433950510892
83,1.9432354078188048,1.943342924118042
84,1.9384947425716526,1.9335770932110874
85,1.9235245906389677,1.9470611052079634
86,1.9187691015201611,1.96397433497689
87,1.9067737204687936,1.9494256214662031
88,1.8824763337334434,1.8753641193563289
89,1.8818359767997659,1.9295985698699951
90,1.8805581305053207,1.9174144918268377
91,1.8538653405158074,1.9876107627695256
92,1.8547585429726066,1.9587467475370928
93,1.8606289808566754,1.8840133168480613
94,1.84248670902881,1.9215231483632869
95,1.8339032524234646,1.9635425264185125
96,1.8151761293411255,1.8809283321554011
97,1.8282013594449222,1.9068118225444446
98,1.8174641210954268,1.87857816436074
99,1.8123467990330286,1.9177859371358699
