,Training,Validation
0,8.10904071773637,2.2
1,12.663906142167011,2.85
2,15.217391304347828,2.9
3,18.115942028985508,3.35
4,18.80607315389924,3.55
5,21.11801242236025,4.05
6,22.049689440993788,3.95
7,21.94616977225673,4.35
8,24.706694271911665,3.8
9,25.98343685300207,3.65
10,25.87991718426501,4.75
11,26.36300897170462,4.15
12,27.915804002760524,4.5
13,26.570048309178745,4.6
14,27.294685990338163,4.5
15,29.39958592132505,4.8
16,30.33126293995859,5.1
17,29.08902691511387,4.1
18,31.193926846100762,4.15
19,30.0552104899931,5.0
20,31.193926846100762,4.95
21,30.917874396135264,4.95
22,31.746031746031743,4.1
23,31.780538302277435,4.65
24,32.022084195997245,4.6
25,31.95307108350587,4.95
26,33.05728088336784,5.2
27,33.54037267080746,4.95
28,33.091787439613526,5.25
29,34.437543133195305,5.05
30,34.33402346445825,5.4
31,34.50655624568668,5.1
32,34.12698412698413,4.9
33,34.886128364389236,4.95
34,34.161490683229815,5.25
35,34.64458247066943,5.1
36,34.40303657694962,4.75
37,36.71497584541063,5.1
38,35.88681849551415,5.35
39,36.024844720496894,4.45
40,37.12905452035887,4.75
41,36.61145617667357,5.25
42,35.714285714285715,5.05
43,37.50862663906142,4.85
44,36.85300207039337,5.35
45,36.40441683919945,5.75
46,37.16356107660456,5.05
47,37.88819875776397,5.0
48,37.75017253278123,5.25
49,38.302277432712216,5.35
50,37.88819875776397,5.55
51,37.99171842650104,5.2
52,37.577639751552795,5.4
53,38.37129054520359,5.7
54,36.19737750172533,5.1
55,37.16356107660456,5.2
56,37.12905452035887,5.55
57,37.54313319530711,5.3
58,37.40510697032436,5.7
59,37.12905452035887,5.7
60,38.47481021394065,5.3
61,37.16356107660456,5.25
62,37.267080745341616,5.15
63,37.95721187025535,5.1
64,36.507936507936506,5.35
65,35.990338164251206,5.25
66,35.507246376811594,5.35
67,36.68046928916494,5.8
68,36.749482401656316,5.45
69,35.955831608005525,5.25
70,35.33471359558316,5.25
71,35.36922015182885,5.25
72,35.748792270531396,5.0
73,35.05866114561767,5.2
74,35.02415458937198,5.0
75,35.57625948930297,5.25
76,35.16218081435473,4.8
77,34.61007591442374,5.5
78,34.955141476880605,5.25
79,34.368530020703936,4.9
80,34.02346445824706,4.9
81,34.85162180814355,4.75
82,34.33402346445825,4.7
83,33.88543823326432,5.1
84,33.29882677708765,4.9
85,33.88543823326432,5.2
86,33.50586611456177,4.65
87,32.98826777087647,5.05
88,34.26501035196687,4.95
89,32.91925465838509,4.75
90,33.1608005521049,4.95
91,33.1608005521049,4.7
92,32.50517598343685,4.5
93,32.608695652173914,4.85
94,32.40165631469979,4.6
95,33.33333333333333,4.45
96,32.022084195997245,4.85
97,32.850241545893724,4.25
98,33.29882677708765,4.5
99,32.125603864734295,4.45
